Geo_Identifier,State,City,Street,ZipCode,CrimeIndex,AvgHousePrice,EstablishedDate
2223344242,FL,Orlando,Broadway,33146,27.9,842294,30-04-1904
2223444243,FL,Orlando,Broadway,33146,50.51,945949,1897-11-15
2223544244,FL,Orlando,Elm St,33801,97.59,350104,26-07-1922
2223644245,FL,Orlando,Oak Dr,33801,69.18,833703,14-07-1903
2223744246,FL,Orlando,Maple Ave,33809,48.86,819327,27-11-1906
2223844247,FL,Orlando,Main St,33809,91.21,188110,11-07-1919
2223944248,NY,Buffalo,Elm St,10001,75.22,382439,1896-03-21
2224044249,NY,Buffalo,Oak Dr,10001,22.33,817157,19-08-1921
2224144250,NY,Buffalo,Main St,14201,14.39,124141,11-02-1945
2224244251,NY,Buffalo,Broadway,14201,58.93,786653,29-01-1903
2224344252,NY,Buffalo,Pine St,14201,7.02,706027,28-12-1904
2224444253,NY,Buffalo,Pine St,14201,3.85,812746,19-06-1924
2224544254,NY,Buffalo,Highland Ave,14201,98.26,113070,25-07-1934
2224644255,NY,Buffalo,Sunset Blvd,14201,19.9,946573,1896-12-29
2224744256,NY,New York,Elm St,10001,75.22,904214,18-03-1941
2224844257,NY,New York,Pine St,10001,50.47,535493,27-05-1922
2224944258,NY,New York,Oak Dr,14201,82.88,786653,25-07-1907
2225044259,NY,New York,Sunset Blvd,14201,93.52,345067,22-07-1903
2225144260,NY,New York,Broadway,14201,53.58,590064,29-10-1905
2225244261,NY,New York,Broadway,14201,24.22,388414,11-03-1929
2225344262,NY,New York,Broadway,14201,10.77,382439,23-04-1923
2225444263,NY,New York,Sunset Blvd,14201,60.35,982761,30-04-1932
2225544264,TX,Dallas,Maple Ave,75201,3.85,366301,04-03-1908
2225644265,TX,Dallas,Main St,75201,94.21,786653,18-10-1939
2225744266,TX,Dallas,Main St,75201,92.29,331024,03-10-1911
2225844267,TX,Dallas,Pine St,75201,7.7,388414,10-10-1915
2225944268,TX,Dallas,Pine St,77001,75.22,345067,23-01-1925
2226044269,TX,Dallas,Main St,77001,72.76,842294,22-06-1912
2226144270,TX,Dallas,Maple Ave,77001,56.23,660286,14-07-1905
2226244271,TX,Houston,Maple Ave,75201,6.68,804435,21-11-1900
2226344272,TX,Houston,Main St,75201,7.7,706027,22-05-1928
2226444273,TX,Houston,Main St,75201,93.52,382439,16-08-1917
2226544274,TX,Houston,Sunset Blvd,75201,98.93,675791,04-05-1913
2226644275,TX,Houston,Elm St,75201,7.02,904214,22-06-1900
2226744276,TX,Houston,Oak Dr,75201,38.65,268591,23-10-1932
2226844277,TX,Houston,Broadway,75201,83.65,833703,23-10-1944
2226944278,TX,Houston,Main St,77001,69.98,253670,10-10-1912
2227044279,TX,Houston,Elm St,77001,86.86,610044,20-12-1933
2227144280,TX,Houston,Elm St,77001,98.93,578325,1896-06-17
2227244281,TX,Houston,Sunset Blvd,77001,2.42,590064,23-11-1902
